"VRSTA TURISTIÈNEGA POTOVANJA","DESTINACIJA","PREVOZNO SREDSTVO","MERITVE","2021","2022"
"...krajša zasebna (1-3 prenoèitve)","Tujina","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",224.38,236.83
"...krajša zasebna (1-3 prenoèitve)","Tujina","Drugo","Potovanja (v 1000)",N,N
"...krajša zasebna (1-3 prenoèitve)","Tujina","Drugo","Prenoèitve (v 1000)",N,N
"...krajša zasebna (1-3 prenoèitve)","Tujina","Drugo","Povpreèno število prenoèitev",N,N
"...krajša zasebna (1-3 prenoèitve)","Tujina","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",1795,2290
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",14018,17366
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",7.8,7.6
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",63.05,64.32
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Potovanja (v 1000)",1534,1842
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",11783,13753
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",7.7,7.5
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",53.12,54.71
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Avtobus","Potovanja (v 1000)",79,131
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Avtobus","Prenoèitve (v 1000)",565,946
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Avtobus","Povpreèno število prenoèitev",7.2,7.2
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",55.48,58.04
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Vlak","Potovanja (v 1000)",N,36
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Vlak","Prenoèitve (v 1000)",N,252
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Vlak","Povpreèno število prenoèitev",N,7.0
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",N,59.33
